epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,15.0091,0.69788,3.31612,1.08011,0.00333,1,0.0496,0.03947,0.5848,3.19223,0.85822,6e-05,6e-05,6e-05
2,31.3973,0.64172,2.86896,1.00993,0.00333,1,0.42398,0.3876,0.48325,3.11916,0.83119,0.000138614,0.000138614,0.000138614
3,47.1915,0.74352,2.40479,1.0086,0.00333,1,0.6066,0.52851,0.48351,2.97313,0.79798,0.000215644,0.000215644,0.000215644
4,62.7661,0.7538,1.78325,0.99121,0.00333,1,0.79674,0.71127,0.61732,2.77522,0.8472,0.00029109,0.00029109,0.00029109
5,77.9731,0.73439,1.4728,0.98333,0.00333,1,0.94085,0.81401,0.61178,2.72459,0.84724,0.000364952,0.000364952,0.000364952
6,93.6685,0.72826,1.3637,0.98138,0.00333,1,0.98269,0.8448,0.58818,2.73833,0.84884,0.00043723,0.00043723,0.00043723
7,108.637,0.69891,1.23008,0.95155,0.00333,1,0.95197,0.82039,0.55386,2.78201,0.83613,0.000507924,0.000507924,0.000507924
8,123.353,0.74799,1.44714,0.96535,0.00333,1,0.80683,0.65266,0.64901,2.78608,0.8585,0.000577034,0.000577034,0.000577034
