epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,479.93,2.29273,18.4016,1.55068,0,0,0,0,1.55801,9.36741,1.12217,4e-05,4e-05,4e-05
2,1233.47,1.69989,12.5511,1.1725,0,0,0,0,1.61821,9.41178,1.11074,9.901e-05,9.901e-05,9.901e-05
3,1808.59,1.39732,11.0757,1.03245,0,0,0,0,1.57789,9.28821,1.08795,0.000156832,0.000156832,0.000156832
4,2409.45,1.33012,10.4953,1.01047,0.00182,0.54545,0.29451,0.11423,1.46421,9.52158,1.03843,0.000213466,0.000213466,0.000213466
